Session,Exp,Set
212_FED_20170322a_3T2_PL2017,langloc_DiffTasks_1,Language
249_FED_20170417a_3T2_PL2017,langloc_DiffTasks_1,Language
338_FED_20190123a_3T2_PL2017,langloc_DiffTasks_1,Language
426_FED_20170321b_3T2_PL2017,langloc_DiffTasks_1,Language
551_FED_20170420b_3T2_PL2017,langloc_DiffTasks_1,Language
553_FED_20170428d_3T2_PL2017,langloc_DiffTasks_1,Language
584_FED_20190208a_3T2_PL2017,langloc_DiffTasks_1,Language
602_FED_20170501b_3T2_PL2017,langloc_DiffTasks_1,Language
604_FED_20170502b_3T2_PL2017,langloc_DiffTasks_1,Language
605_FED_20170505a_3T2_PL2017,langloc_DiffTasks_1,Language
606_FED_20170515a_3T2_PL2017,langloc_DiffTasks_1,Language
673_FED_20190131c_3T2_PL2017,langloc_DiffTasks_1,Language
673_FED_20180720a_3T2_PL2017,langloc_DiffTasks_1,Language
674_FED_20180720b_3T2_PL2017,langloc_DiffTasks_1,Language
675_FED_20180726a_3T2_PL2017,langloc_DiffTasks_1,Language
680_FED_20190131e_3T2_PL2017,langloc_DiffTasks_1,Language
705_FED_20190117a_3T2_PL2017,langloc_DiffTasks_1,Language
707_FED_20190117c_3T2_PL2017,langloc_DiffTasks_1,Language
709_FED_20190124a_3T2_PL2017,langloc_DiffTasks_1,Language
710_FED_20190124b_3T2_PL2017,langloc_DiffTasks_1,Language
712_FED_20190124d_3T2_PL2017,langloc_DiffTasks_1,Language
714_FED_20190131a_3T2_PL2017,langloc_DiffTasks_1,Language
715_FED_20190131b_3T2_PL2017,langloc_DiffTasks_1,Language
716_FED_20190131d_3T2_PL2017,langloc_DiffTasks_1,Language
717_FED_20190207a_3T2_PL2017,langloc_DiffTasks_1,Language
718_FED_20190207b_3T2_PL2017,langloc_DiffTasks_1,Language
719_FED_20190207c_3T2_PL2017,langloc_DiffTasks_1,Language
720_FED_20190208b_3T2_PL2017,langloc_DiffTasks_1,Language
721_FED_20190208c_3T2_PL2017,langloc_DiffTasks_1,Language
722_FED_20190213a_3T2_PL2017,langloc_DiffTasks_1,Language
724_FED_20190214b_3T2_PL2017,langloc_DiffTasks_1,Language
018_KAN_RHnonlit_09_PL2017,langlocSN,Language
018_FED_20150817a_3T1_PL2017,langlocSN,Language
036_KAN_EvDB_20150501b_PL2017,langlocSN,Language
043_FED_20170630b_3T2_PL2017,langlocSN,Language
045_FED_20160803a_3T1_PL2017,langlocSN,Language
045_FED_20160817a_3T2_PL2017,langlocSN,Language
049_KAN_RHnonlit_10_PL2017,langlocSN,Language
050_KAN_evDB_20131218b_PL2017,langlocSN,Language
055_FED_20191106a_3T2_PL2017,langlocSN,Language
090_KAN_polyglot_01_PL2017,langlocSN,Language
097_KAN_RHnonlit_05_PL2017,langlocSN,Language
113_KAN_prodsemphon_05_PL2017,langlocSN,Language
